mRNA	lncRNA	Type
CD44	LINC01011	coexpression
NFE2L2	EIF3J-DT	coexpression
HSPB1	SNHG16	coexpression
TFRC	SNHG16	coexpression
EMC2	SNHG16	coexpression
ACACA	SNHG16	coexpression
IREB2	SNHG16	coexpression
HSPB1	AC105219.1	coexpression
CRYAB	LINC02381	coexpression
ZEB1	LINC02381	coexpression
HMOX1	LINC02381	coexpression
PEBP1	ELFN1-AS1	coexpression
CISD1	LINC01063	coexpression
AKR1C2	AC009283.1	coexpression
ACACA	AC009283.1	coexpression
CS	NKILA	coexpression
GOT1	NKILA	coexpression
